bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,0,1500,230,1270,15.333333333333332,84.66666666666667
1,1500,3000,7,1493,0.46666666666666673,99.53333333333333
2,3000,4500,120,1380,8.0,92.0
3,4500,6000,47,1453,3.1333333333333333,96.86666666666666
4,6000,7500,80,1420,5.333333333333334,94.66666666666667
5,7500,9000,47,1453,3.1333333333333333,96.86666666666666
6,9000,10500,62,1438,4.133333333333333,95.86666666666667
7,10500,12000,59,1441,3.933333333333333,96.06666666666666
8,12000,13500,45,1455,3.0,97.0
9,13500,15000,14,1486,0.9333333333333335,99.06666666666666
10,15000,16500,19,1481,1.2666666666666666,98.73333333333333
11,16500,18000,48,1452,3.2,96.8
12,18000,19500,35,1465,2.3333333333333335,97.66666666666667
13,19500,21000,40,1460,2.666666666666667,97.33333333333333
14,21000,22500,35,1465,2.3333333333333335,97.66666666666667
15,22500,24000,41,1459,2.7333333333333334,97.26666666666667
16,24000,25500,11,1489,0.7333333333333333,99.26666666666667
17,25500,27000,17,1483,1.1333333333333333,98.86666666666666
18,27000,28500,33,1467,2.1999999999999997,97.8
19,28500,30000,16,1484,1.0666666666666667,98.93333333333334
20,30000,31500,27,1473,1.7999999999999998,98.2
21,31500,33000,6,1494,0.4,99.6
22,33000,34500,8,1492,0.5333333333333333,99.46666666666667
23,34500,36000,8,1492,0.5333333333333333,99.46666666666667
24,36000,37500,7,1493,0.46666666666666673,99.53333333333333
25,37500,39000,9,1491,0.6,99.4
26,39000,40500,8,1492,0.5333333333333333,99.46666666666667
27,40500,42000,6,1494,0.4,99.6
28,42000,43500,9,1491,0.6,99.4
29,43500,45000,8,1492,0.5333333333333333,99.46666666666667
30,45000,46500,8,1492,0.5333333333333333,99.46666666666667
31,46500,48000,6,1494,0.4,99.6
32,48000,49500,8,1492,0.5333333333333333,99.46666666666667
33,49500,51000,12,1488,0.8,99.2
34,51000,52500,8,1492,0.5333333333333333,99.46666666666667
35,52500,54000,10,1490,0.6666666666666667,99.33333333333333
36,54000,55500,11,1489,0.7333333333333333,99.26666666666667
37,55500,57000,7,1493,0.46666666666666673,99.53333333333333
38,57000,58500,9,1491,0.6,99.4
39,58500,60000,8,1492,0.5333333333333333,99.46666666666667
40,60000,61500,18,1482,1.2,98.8
41,61500,63000,6,1494,0.4,99.6
42,63000,64500,0,1500,0.0,100.0
43,64500,66000,18,1482,1.2,98.8
44,66000,67500,12,1488,0.8,99.2
45,67500,69000,8,1492,0.5333333333333333,99.46666666666667
46,69000,70500,13,1487,0.8666666666666666,99.13333333333334
47,70500,72000,16,1484,1.0666666666666667,98.93333333333334
48,72000,73500,18,1482,1.2,98.8
49,73500,75000,6,1494,0.4,99.6
50,75000,76500,8,1492,0.5333333333333333,99.46666666666667
51,76500,78000,6,1494,0.4,99.6
52,78000,79500,34,1466,2.2666666666666666,97.73333333333333
53,79500,81000,9,1491,0.6,99.4
54,81000,82500,7,1493,0.46666666666666673,99.53333333333333
55,82500,84000,8,1492,0.5333333333333333,99.46666666666667
56,84000,85500,8,1492,0.5333333333333333,99.46666666666667
57,85500,87000,6,1494,0.4,99.6
58,87000,88500,9,1491,0.6,99.4
59,88500,90000,10,1490,0.6666666666666667,99.33333333333333
60,90000,91500,27,1473,1.7999999999999998,98.2
61,91500,93000,6,1494,0.4,99.6
62,93000,94500,10,1490,0.6666666666666667,99.33333333333333
63,94500,96000,8,1492,0.5333333333333333,99.46666666666667
64,96000,97500,9,1491,0.6,99.4
65,97500,99000,10,1490,0.6666666666666667,99.33333333333333
66,99000,100500,9,1491,0.6,99.4
67,100500,102000,6,1494,0.4,99.6
68,102000,103500,10,1490,0.6666666666666667,99.33333333333333
69,103500,105000,6,1494,0.4,99.6
70,105000,106500,9,1491,0.6,99.4
71,106500,108000,6,1494,0.4,99.6
72,108000,109500,10,1490,0.6666666666666667,99.33333333333333
73,109500,111000,6,1494,0.4,99.6
74,111000,112500,9,1491,0.6,99.4
75,112500,114000,9,1491,0.6,99.4
76,114000,115500,6,1494,0.4,99.6
77,115500,117000,8,1492,0.5333333333333333,99.46666666666667
78,117000,118500,8,1492,0.5333333333333333,99.46666666666667
79,118500,120000,6,1494,0.4,99.6
80,120000,121500,10,1490,0.6666666666666667,99.33333333333333
81,121500,123000,6,1494,0.4,99.6
82,123000,124500,10,1490,0.6666666666666667,99.33333333333333
83,124500,126000,6,1494,0.4,99.6
84,126000,127500,10,1490,0.6666666666666667,99.33333333333333
85,127500,129000,8,1492,0.5333333333333333,99.46666666666667
86,129000,130500,8,1492,0.5333333333333333,99.46666666666667
87,130500,132000,6,1494,0.4,99.6
88,132000,133500,6,1494,0.4,99.6
89,133500,135000,5,1495,0.33333333333333337,99.66666666666667
90,135000,136500,8,1492,0.5333333333333333,99.46666666666667
91,136500,138000,5,1495,0.33333333333333337,99.66666666666667
92,138000,139500,6,1494,0.4,99.6
93,139500,141000,7,1493,0.46666666666666673,99.53333333333333
94,141000,142500,9,1491,0.6,99.4
95,142500,144000,7,1493,0.46666666666666673,99.53333333333333
96,144000,145500,9,1491,0.6,99.4
97,145500,147000,8,1492,0.5333333333333333,99.46666666666667
98,147000,148500,10,1490,0.6666666666666667,99.33333333333333
99,148500,150000,27,1473,1.7999999999999998,98.2
