process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
2,network,17502,1956,15546,1101,1101,0,0,2202,0,0,282957
3,temp_monitor,17502,16,17486,35,0,0,0,0,0,36,35
4,stepper,17502,14,17488,0,0,0,0,90,90,0,90
0,temp_monitor,18002,18002,0,233,0,0,0,0,0,235,233
0,stepper,18502,31,18471,0,0,0,0,95,95,0,95
1,power,18502,3437,15065,1162,1163,0,0,2325,0,0,298833
2,safety,18502,11751,6751,0,0,0,0,0,103395,34465,34465
3,gcode_parser,18502,320,18182,941,941,0,0,0,0,0,941
4,network,18502,2963,15539,1162,1163,0,0,2325,0,0,298832
0,stepper,19002,111,18891,0,0,0,0,106,106,0,106
1,safety,19002,13155,5847,0,0,0,0,0,115008,38336,38336
2,temp_monitor,19002,10,18992,42,0,0,0,0,0,43,42
3,gcode_parser,19002,374,18628,1047,1047,0,0,0,0,0,1047
4,power,19002,5425,13577,1293,1293,0,0,2586,0,0,332301
0,status_led,19502,15,19487,0,0,0,0,0,5,0,5
1,stepper,19502,20,19482,0,0,0,0,109,109,0,109
2,power,19502,5475,14027,1329,1329,0,0,2658,0,0,341553
3,safety,19502,13622,5880,0,0,0,0,0,118206,39401,39401
4,gcode_parser,19502,370,19132,1076,1076,0,0,0,0,0,1076
0,safety,20002,20002,0,0,0,0,0,0,565498,188499,188499
0,status_led,20502,1563,18939,0,0,0,0,0,12,0,12
1,safety,20502,20487,15,0,0,0,0,0,324525,108175,108175
0,stepper,21002,152,20850,0,0,0,0,118,118,0,118
1,status_led,21002,1,21001,0,0,0,0,0,5,0,5
2,safety,21002,14796,6206,0,0,0,0,0,128388,42796,42796
3,power,21002,5764,15238,1443,1444,0,0,2887,0,0,370906
4,gcode_parser,21002,409,20593,1169,1169,0,0,0,0,0,1169
0,safety,21502,21502,0,0,0,0,0,0,607936,202645,202645
0,power,22002,4517,17485,1446,1446,0,0,2892,0,0,371622
1,gcode_parser,22002,3020,18982,1171,1171,0,0,0,0,0,1171
2,temp_monitor,22002,113,21889,47,0,0,0,0,0,48,47
3,status_led,22002,5,21997,0,0,0,0,0,5,0,5
4,network,22002,14347,7655,1446,1446,0,0,2892,0,0,371622
0,power,22502,22050,452,2645,2645,0,0,5290,0,0,679765
1,stepper,22502,292,22210,0,0,0,0,216,216,0,216
2,temp_monitor,22502,160,22342,86,0,0,0,0,0,87,86
0,network,23002,4324,18678,1449,1449,0,0,2898,0,0,372393
1,temp_monitor,23002,16,22986,47,0,0,0,0,0,48,47
2,safety,23002,14696,8306,0,0,0,0,0,128859,42953,42953
3,power,23002,3545,19457,1449,1449,0,0,2898,0,0,372393
4,gcode_parser,23002,421,22581,1173,1173,0,0,0,0,0,1173
0,safety,23502,23502,0,0,0,0,0,0,664519,221506,221506
0,safety,24002,16731,7271,0,0,0,0,0,146751,48917,48917
1,stepper,24002,24,23978,0,0,0,0,135,135,0,135
2,status_led,24002,1699,22303,0,0,0,0,0,6,0,6
3,power,24002,6765,17237,1650,1650,0,0,3300,0,0,424050
4,gcode_parser,24002,481,23521,1336,1336,0,0,0,0,0,1336
0,power,24502,7684,16818,2554,2555,0,0,5109,0,0,656406
1,safety,24502,16269,8233,0,0,0,0,0,227223,75741,75741
2,gcode_parser,24502,549,23953,2068,2068,0,0,0,0,0,2068
0,network,25002,18183,6819,1643,1643,0,0,3286,0,0,422251
1,power,25002,2965,22037,1643,1643,0,0,3286,0,0,422251
2,gcode_parser,25002,3422,21580,1330,1330,0,0,0,0,0,1330
3,stepper,25002,277,24725,0,0,0,0,134,134,0,134
4,temp_monitor,25002,367,24635,53,0,0,0,0,0,54,53
0,network,25502,20826,4676,2505,2505,0,0,5010,0,0,643785
1,power,25502,4373,21129,2505,2505,0,0,5010,0,0,643785
2,stepper,25502,303,25199,0,0,0,0,205,206,0,205
0,network,26002,26002,0,6808,6809,0,0,13616,0,0,1749656
0,gcode_parser,26502,26446,56,4225,4225,0,0,0,0,0,4225
1,status_led,26502,56,26446,0,0,0,0,0,19,0,18
0,network,27002,26990,12,4409,4409,0,0,8818,0,0,1133113
1,status_led,27002,757,26245,0,0,0,0,0,16,0,15
0,network,27502,27502,0,7201,7202,0,0,14402,0,0,1850657
0,network,28002,28002,0,7332,7333,0,0,14664,0,0,1884324
0,stepper,28502,1416,27086,0,0,0,0,308,308,0,308
1,gcode_parser,28502,27016,1486,3045,3045,0,0,0,0,0,3045
2,status_led,28502,775,27727,0,0,0,0,0,14,0,13
0,power,29002,28661,341,4731,4731,0,0,9462,0,0,1215867
1,stepper,29002,352,28650,0,0,0,0,387,388,0,387
0,stepper,29502,129,29373,0,0,0,0,202,202,0,202
1,safety,29502,20790,8712,0,0,0,0,0,219954,73318,73317
2,power,29502,8645,20857,2473,2473,0,0,4946,0,0,635560
3,temp_monitor,29502,26,29476,80,0,0,0,0,0,81,80
0,gcode_parser,30002,1133,28869,4235,4235,0,0,0,0,0,4234
1,safety,30002,28869,1133,0,0,0,0,0,465358,155119,155119
0,power,30502,8910,21592,2535,2536,0,0,5071,0,0,651667
1,temp_monitor,30502,211,30291,82,0,0,0,0,0,83,82
2,status_led,30502,3,30499,0,0,0,0,0,9,0,9
3,safety,30502,21564,8938,0,0,0,0,0,225543,75181,75181
0,safety,31002,20152,10850,0,0,0,0,0,396108,132036,132036
1,power,31002,10850,20152,4453,4453,0,0,8906,0,0,1144421
0,safety,31502,31502,0,0,0,0,0,0,890851,296950,296950
0,network,32002,7558,24444,1982,1983,0,0,3965,0,0,509625
1,power,32002,3696,28306,1982,1983,0,0,3965,0,0,509624
2,temp_monitor,32002,26,31976,64,0,0,0,0,0,65,64
3,safety,32002,20720,11282,0,0,0,0,0,176349,58783,58783
4,status_led,32002,2,32000,0,0,0,0,0,7,0,7
0,temp_monitor,32502,303,32199,169,0,0,0,0,0,170,169
1,network,32502,32287,215,5201,5203,0,0,10403,0,0,1336875
0,network,33002,24178,8824,2145,2145,0,0,4290,0,0,551265
1,power,33002,3940,29062,2145,2145,0,0,4290,0,0,551265
2,stepper,33002,352,32650,0,0,0,0,175,175,0,175
3,status_led,33002,7,32995,0,0,0,0,0,7,0,7
4,gcode_parser,33002,4525,28477,1736,1736,0,0,0,0,0,1736
0,network,33502,23686,9816,2157,2158,0,0,4315,0,0,554565
1,status_led,33502,12,33490,0,0,0,0,0,8,0,8
2,power,33502,4920,28582,2157,2158,0,0,4315,0,0,554565
3,gcode_parser,33502,4524,28978,1746,1746,0,0,0,0,0,1746
4,stepper,33502,530,32972,0,0,0,0,176,176,0,176
0,stepper,34002,34002,0,0,0,0,0,1000,1001,0,1000
