process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
1,temp_monitor,17002,88,16914,98,0,0,0,0,0,99,98
0,stepper,17502,15604,1898,0,0,0,0,287,287,0,287
1,temp_monitor,17502,1898,15604,114,0,0,0,0,0,115,114
0,power,18002,15446,2556,2794,2795,0,0,5589,0,0,718192
1,gcode_parser,18002,2563,15439,2263,2264,0,0,0,0,0,2263
0,temp_monitor,18502,18502,0,239,0,0,0,0,0,241,239
0,gcode_parser,19002,18958,44,3029,3029,0,0,0,0,0,3029
1,status_led,19002,44,18958,0,0,0,0,0,14,0,13
0,gcode_parser,19502,19502,0,6026,6027,0,0,0,0,0,6026
0,power,20002,5021,14981,1586,1587,0,0,3173,0,0,407695
1,stepper,20002,245,19757,0,0,0,0,130,130,0,130
2,status_led,20002,17,19985,0,0,0,0,0,6,0,6
3,network,20002,14719,5283,1586,1587,0,0,3173,0,0,407696
0,safety,20502,14312,6190,0,0,0,0,0,124295,41431,41431
1,power,20502,5779,14723,1397,1398,0,0,2795,0,0,359079
2,temp_monitor,20502,16,20486,45,0,0,0,0,0,46,45
3,gcode_parser,20502,370,20132,1131,1131,0,0,0,0,0,1131
4,stepper,20502,25,20477,0,0,0,0,114,114,0,114
0,temp_monitor,21002,323,20679,56,0,0,0,0,0,57,56
1,network,21002,6237,14765,1746,1746,0,0,3492,0,0,448722
2,safety,21002,14312,6690,0,0,0,0,0,155281,51760,51760
3,gcode_parser,21002,427,20575,1413,1413,0,0,0,0,0,1413
0,temp_monitor,21502,140,21362,51,0,0,0,0,0,52,51
1,gcode_parser,21502,3344,18158,1285,1285,0,0,0,0,0,1285
2,status_led,21502,1,21501,0,0,0,0,0,6,0,6
3,power,21502,17751,3751,1586,1586,0,0,3171,0,0,407601
4,stepper,21502,346,21156,0,0,0,0,130,130,0,130
0,temp_monitor,22002,22002,0,285,0,0,0,0,0,287,285
0,safety,22502,15722,6780,0,0,0,0,0,136434,45478,45478
1,power,22502,6322,16180,1534,1534,0,0,3068,0,0,394238
2,temp_monitor,22502,22,22480,49,0,0,0,0,0,50,49
3,status_led,22502,2,22500,0,0,0,0,0,6,0,6
4,gcode_parser,22502,436,22066,1242,1242,0,0,0,0,0,1242
0,gcode_parser,23002,467,22535,1162,1162,0,0,0,0,0,1162
1,safety,23002,14542,8460,0,0,0,0,0,127662,42554,42554
2,stepper,23002,24,22978,0,0,0,0,118,118,0,118
3,power,23002,5482,17520,1435,1435,0,0,2870,0,0,368795
4,network,23002,2494,20508,1435,1435,0,0,2870,0,0,368795
0,gcode_parser,23502,23454,48,3747,3747,0,0,0,0,0,3747
1,status_led,23502,224,23278,0,0,0,0,0,17,0,16
0,stepper,24002,24002,0,0,0,0,0,780,781,0,780
