process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,temp_monitor,18502,29,18473,63,0,0,0,0,0,64,63
1,network,18502,5940,12562,1948,1948,0,0,3896,0,0,500636
2,safety,18502,12533,5969,0,0,0,0,0,173302,57767,57767
0,network,19002,4165,14837,1226,1227,0,0,2453,0,0,315107
1,gcode_parser,19002,2577,16425,993,993,0,0,0,0,0,993
2,stepper,19002,215,18787,0,0,0,0,101,101,0,101
3,power,19002,12037,6965,1226,1227,0,0,2453,0,0,315107
4,status_led,19002,8,18994,0,0,0,0,0,6,0,5
0,gcode_parser,19502,18050,1452,2084,2084,0,0,0,0,0,2084
1,stepper,19502,1043,18459,0,0,0,0,211,211,0,211
2,temp_monitor,19502,638,18864,83,0,0,0,0,0,84,83
0,temp_monitor,20002,138,19864,104,0,0,0,0,0,105,104
1,power,20002,19864,138,3200,3202,0,0,6401,0,0,822410
0,network,20502,4027,16475,1598,1599,0,0,3197,0,0,410766
1,gcode_parser,20502,2589,17913,1294,1294,0,0,0,0,0,1294
2,stepper,20502,217,20285,0,0,0,0,131,131,0,131
3,power,20502,13669,6833,1598,1599,0,0,3197,0,0,410767
0,power,21002,6202,14800,1421,1421,0,0,2842,0,0,365196
1,safety,21002,14384,6618,0,0,0,0,0,126360,42120,42120
2,gcode_parser,21002,401,20601,1150,1150,0,0,0,0,0,1150
3,status_led,21002,0,21002,0,0,0,0,0,5,0,5
4,temp_monitor,21002,15,20987,46,0,0,0,0,0,47,46
0,status_led,21502,1415,20087,0,0,0,0,0,15,0,15
1,temp_monitor,21502,20087,1415,140,0,0,0,0,0,141,140
0,power,22002,5991,16011,1498,1498,0,0,2996,0,0,384986
1,status_led,22002,3989,18013,0,0,0,0,0,5,0,5
2,stepper,22002,21,21981,0,0,0,0,123,123,0,123
3,gcode_parser,22002,488,21514,1213,1213,0,0,0,0,0,1213
4,safety,22002,15500,6502,0,0,0,0,0,133263,44421,44421
0,power,22502,22502,0,5891,5893,0,0,11783,0,0,1513998
0,stepper,23002,1183,21819,0,0,0,0,370,370,0,370
1,gcode_parser,23002,21854,1148,3666,3666,0,0,0,0,0,3666
0,status_led,23502,304,23198,0,0,0,0,0,8,0,8
1,temp_monitor,23502,28,23474,70,0,0,0,0,0,71,70
2,gcode_parser,23502,652,22850,1759,1759,0,0,0,0,0,1759
3,safety,23502,22806,696,0,0,0,0,0,193287,64429,64429
0,network,24002,23726,276,3915,3915,0,0,7830,0,0,1006155
1,stepper,24002,316,23686,0,0,0,0,320,321,0,320
0,gcode_parser,24502,717,23785,1857,1857,0,0,0,0,0,1857
1,safety,24502,23758,744,0,0,0,0,0,204057,68019,68019
2,status_led,24502,1580,22922,0,0,0,0,0,8,0,8
3,temp_monitor,24502,24,24478,74,0,0,0,0,0,75,74
0,safety,25002,17291,7711,0,0,0,0,0,184530,61510,61510
1,stepper,25002,23,24979,0,0,0,0,170,170,0,170
2,temp_monitor,25002,19,24983,67,0,0,0,0,0,68,67
3,network,25002,7670,17332,2074,2075,0,0,4149,0,0,533184
0,gcode_parser,25502,24955,547,4066,4066,0,0,0,0,0,4066
1,temp_monitor,25502,547,24955,163,0,0,0,0,0,164,163
0,power,26002,25399,603,2409,2409,0,0,4817,0,0,619112
1,stepper,26002,397,25605,0,0,0,0,197,197,0,197
