process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
1,gcode_parser,16502,320,16182,834,834,0,0,0,0,0,834
2,safety,16502,10436,6066,0,0,0,0,0,91596,30532,30532
3,status_led,16502,0,16502,0,0,0,0,0,4,0,4
4,network,16502,2940,13562,1030,1030,0,0,2060,0,0,264710
0,temp_monitor,17002,35,16967,68,0,0,0,0,0,69,68
1,safety,17002,16945,57,0,0,0,0,0,185913,61971,61971
2,stepper,17002,23,16979,0,0,0,0,171,171,0,171
0,temp_monitor,17502,16282,1220,114,0,0,0,0,0,115,114
1,status_led,17502,1220,16282,0,0,0,0,0,13,0,12
0,stepper,18002,196,17806,0,0,0,0,95,95,0,95
1,status_led,18002,1,18001,0,0,0,0,0,4,0,4
2,gcode_parser,18002,2484,15518,941,941,0,0,0,0,0,941
3,power,18002,13202,4800,1163,1163,0,0,2326,0,0,298891
4,network,18002,2129,15873,1163,1163,0,0,2326,0,0,298891
0,stepper,18502,29,18473,0,0,0,0,102,102,0,102
1,temp_monitor,18502,18,18484,40,0,0,0,0,0,41,40
2,network,18502,5247,13255,1249,1249,0,0,2497,0,0,320992
3,gcode_parser,18502,379,18123,1011,1011,0,0,0,0,0,1011
4,safety,18502,12829,5673,0,0,0,0,0,111052,37017,37017
0,network,19002,19002,0,4974,4976,0,0,9949,0,0,1278401
0,network,19502,19502,0,5105,5107,0,0,10211,0,0,1312053
0,stepper,20002,327,19675,0,0,0,0,121,121,0,121
1,temp_monitor,20002,122,19880,48,0,0,0,0,0,49,48
2,status_led,20002,0,20002,0,0,0,0,0,5,0,5
3,power,20002,16500,3502,1474,1474,0,0,2948,0,0,378818
4,gcode_parser,20002,3107,16895,1195,1195,0,0,0,0,0,1195
0,safety,20502,20502,0,0,0,0,0,0,579644,193214,193214
0,gcode_parser,21002,3415,17587,1961,1961,0,0,0,0,0,1961
1,status_led,21002,4,20998,0,0,0,0,0,8,0,8
2,power,21002,17586,3416,2422,2423,0,0,4845,0,0,622454
0,temp_monitor,21502,30,21472,58,0,0,0,0,0,59,58
