bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,0,5000,242,4758,4.84,95.16
1,5000,10000,143,4857,2.86,97.14
2,10000,15000,124,4876,2.48,97.52
3,15000,20000,245,4755,4.9,95.1
4,20000,25000,138,4862,2.76,97.24
5,25000,30000,1225,3775,24.5,75.5
6,30000,35000,2880,2120,57.599999999999994,42.400000000000006
7,35000,40000,2724,2276,54.48,45.52
8,40000,45000,2811,2189,56.220000000000006,43.779999999999994
9,45000,50000,2864,2136,57.28,42.72
10,50000,55000,3044,1956,60.88,39.12
11,55000,60000,2740,2260,54.800000000000004,45.199999999999996
12,60000,63312,1723,1589,52.022946859903385,47.977053140096615
