bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,132559084,132564084,273,4727,5.46,94.54
1,132564084,132569084,185,4815,3.6999999999999997,96.3
2,132569084,132574084,148,4852,2.96,97.04
3,132574084,132579084,143,4857,2.86,97.14
4,132579084,132584084,108,4892,2.16,97.84
5,132584084,132589084,83,4917,1.66,98.34
6,132589084,132594084,78,4922,1.5599999999999998,98.44
7,132594084,132599084,86,4914,1.72,98.28
8,132599084,132604084,83,4917,1.66,98.34
9,132604084,132609084,84,4916,1.68,98.32
10,132609084,132614084,83,4917,1.66,98.34
11,132614084,132619084,79,4921,1.58,98.42
12,132619084,132624084,87,4913,1.7399999999999998,98.26
13,132624084,132629084,85,4915,1.7000000000000002,98.3
14,132629084,132634084,85,4915,1.7000000000000002,98.3
15,132634084,132639084,80,4920,1.6,98.4
16,132639084,132644084,75,4925,1.5,98.5
17,132644084,132649084,85,4915,1.7000000000000002,98.3
18,132649084,132654084,82,4918,1.6400000000000001,98.36
19,132654084,132659084,82,4918,1.6400000000000001,98.36
20,132659084,132664084,83,4917,1.66,98.34
21,132664084,132669084,86,4914,1.72,98.28
22,132669084,132674084,86,4914,1.72,98.28
23,132674084,132679084,85,4915,1.7000000000000002,98.3
24,132679084,132684084,90,4910,1.7999999999999998,98.2
25,132684084,132689084,114,4886,2.2800000000000002,97.72
26,132689084,132694084,82,4918,1.6400000000000001,98.36
27,132694084,132699084,84,4916,1.68,98.32
28,132699084,132704084,82,4918,1.6400000000000001,98.36
29,132704084,132709084,92,4908,1.8399999999999999,98.16
30,132709084,132714084,86,4914,1.72,98.28
31,132714084,132719084,88,4912,1.76,98.24
32,132719084,132724084,89,4911,1.78,98.22
33,132724084,132729084,88,4912,1.76,98.24
34,132729084,132734084,99,4901,1.9800000000000002,98.02
35,132734084,132739084,89,4911,1.78,98.22
36,132739084,132744084,86,4914,1.72,98.28
37,132744084,132749084,89,4911,1.78,98.22
38,132749084,132754084,85,4915,1.7000000000000002,98.3
39,132754084,132759084,86,4914,1.72,98.28
40,132759084,132764084,87,4913,1.7399999999999998,98.26
41,132764084,132769084,86,4914,1.72,98.28
42,132769084,132774084,93,4907,1.8599999999999999,98.14
43,132774084,132779084,82,4918,1.6400000000000001,98.36
44,132779084,132784084,96,4904,1.92,98.08
45,132784084,132789084,90,4910,1.7999999999999998,98.2
46,132789084,132794084,90,4910,1.7999999999999998,98.2
47,132794084,132799084,91,4909,1.82,98.18
48,132799084,132804084,86,4914,1.72,98.28
49,132804084,132809084,89,4911,1.78,98.22
50,132809084,132814084,85,4915,1.7000000000000002,98.3
51,132814084,132819084,87,4913,1.7399999999999998,98.26
52,132819084,132824084,106,4894,2.12,97.88
53,132824084,132829084,88,4912,1.76,98.24
54,132829084,132834084,89,4911,1.78,98.22
55,132834084,132839084,87,4913,1.7399999999999998,98.26
56,132839084,132844084,83,4917,1.66,98.34
57,132844084,132849084,85,4915,1.7000000000000002,98.3
58,132849084,132854084,101,4899,2.02,97.98
59,132854084,132859084,91,4909,1.82,98.18
60,132859084,132864084,90,4910,1.7999999999999998,98.2
61,132864084,132869084,86,4914,1.72,98.28
62,132869084,132874084,86,4914,1.72,98.28
63,132874084,132879084,90,4910,1.7999999999999998,98.2
64,132879084,132884084,79,4921,1.58,98.42
65,132884084,132889084,107,4893,2.1399999999999997,97.86
66,132889084,132894084,91,4909,1.82,98.18
67,132894084,132899084,85,4915,1.7000000000000002,98.3
68,132899084,132904084,87,4913,1.7399999999999998,98.26
69,132904084,132909084,92,4908,1.8399999999999999,98.16
70,132909084,132914084,87,4913,1.7399999999999998,98.26
71,132914084,132919084,95,4905,1.9,98.1
72,132919084,132924084,93,4907,1.8599999999999999,98.14
73,132924084,132929084,91,4909,1.82,98.18
74,132929084,132934084,87,4913,1.7399999999999998,98.26
75,132934084,132939084,102,4898,2.04,97.96
76,132939084,132944084,85,4915,1.7000000000000002,98.3
77,132944084,132949084,88,4912,1.76,98.24
78,132949084,132954084,93,4907,1.8599999999999999,98.14
79,132954084,132959084,82,4918,1.6400000000000001,98.36
80,132959084,132964084,88,4912,1.76,98.24
81,132964084,132969084,79,4921,1.58,98.42
82,132969084,132974084,99,4901,1.9800000000000002,98.02
83,132974084,132979084,91,4909,1.82,98.18
84,132979084,132984084,85,4915,1.7000000000000002,98.3
85,132984084,132989084,90,4910,1.7999999999999998,98.2
86,132989084,132994084,88,4912,1.76,98.24
87,132994084,132999084,89,4911,1.78,98.22
88,132999084,133004084,89,4911,1.78,98.22
89,133004084,133009084,84,4916,1.68,98.32
90,133009084,133014084,86,4914,1.72,98.28
91,133014084,133019084,88,4912,1.76,98.24
92,133019084,133024084,85,4915,1.7000000000000002,98.3
93,133024084,133029084,104,4896,2.08,97.92
94,133029084,133034084,85,4915,1.7000000000000002,98.3
95,133034084,133039084,83,4917,1.66,98.34
96,133039084,133044084,96,4904,1.92,98.08
97,133044084,133049084,101,4899,2.02,97.98
98,133049084,133054084,87,4913,1.7399999999999998,98.26
