timestamp,relative_time,pid,comm,uid,syscall
4490.988555617,0.219791220,3014,gzip,0,read
4490.990738128,0.221973731,3014,gzip,0,read
4490.992661554,0.223897157,3014,gzip,0,read
4490.998312891,0.229548494,3014,gzip,0,write
4491.000643357,0.231878960,3014,gzip,0,read
4491.002600849,0.233836452,3014,gzip,0,read
4491.007466849,0.238702452,3014,gzip,0,read
4491.009466365,0.240701968,3014,gzip,0,read
4491.011435870,0.242671473,3014,gzip,0,read
4491.013702676,0.244938279,3014,gzip,0,read
4491.016288301,0.247523904,3014,gzip,0,read
4491.018500675,0.249736278,3014,gzip,0,read
4491.020422211,0.251657814,3014,gzip,0,write
4491.022390973,0.253626576,3014,gzip,0,read
4491.024889645,0.256125248,3014,gzip,0,read
4491.027426153,0.258661756,3014,gzip,0,read
4491.029339631,0.260575234,3014,gzip,0,read
4491.031573566,0.262809169,3014,gzip,0,read
4491.033476947,0.264712550,3014,gzip,0,read
4491.035326247,0.266561850,3014,gzip,0,read
4491.038530974,0.269766577,3014,gzip,0,read
4491.039511400,0.270747003,3014,gzip,0,write
4491.042058576,0.273294179,3014,gzip,0,read
4491.044590924,0.275826527,3014,gzip,0,read
4491.049862681,0.281098284,3014,gzip,0,read
4491.053575967,0.284811570,3014,gzip,0,read
4491.056650301,0.287885904,3014,gzip,0,read
4491.059206034,0.290441637,3014,gzip,0,read
4491.062423777,0.293659380,3014,gzip,0,read
4491.064752234,0.295987837,3014,gzip,0,read
4491.066877113,0.298112716,3014,gzip,0,write
4491.068593834,0.299829437,3014,gzip,0,read
4491.070410815,0.301646418,3014,gzip,0,read
4491.072337602,0.303573205,3014,gzip,0,read
4491.075261407,0.306497010,3014,gzip,0,read
4491.078479925,0.309715528,3014,gzip,0,read
4491.080363265,0.311598868,3014,gzip,0,read
4491.082582902,0.313818505,3014,gzip,0,read
4491.086143386,0.317378989,3014,gzip,0,read
4491.087545043,0.318780646,3014,gzip,0,write
4491.089866293,0.321101896,3014,gzip,0,read
4491.093761849,0.324997452,3014,gzip,0,read
4491.096418174,0.327653777,3014,gzip,0,read
4491.099649778,0.330885381,3014,gzip,0,read
4491.101693939,0.332929542,3014,gzip,0,read
4491.103681571,0.334917174,3014,gzip,0,read
4491.106752950,0.337988553,3014,gzip,0,read
4491.109312288,0.340547891,3014,gzip,0,read
4491.110634974,0.341870577,3014,gzip,0,write
4491.112954327,0.344189930,3014,gzip,0,read
4491.115678092,0.346913695,3014,gzip,0,read
4491.117877061,0.349112664,3014,gzip,0,read
4491.122343690,0.353579293,3014,gzip,0,read
4491.124535739,0.355771342,3014,gzip,0,read
4491.127435036,0.358670639,3014,gzip,0,read
4491.130737257,0.361972860,3014,gzip,0,read
4491.132698929,0.363934532,3014,gzip,0,read
4491.133467198,0.364702801,3014,gzip,0,write
4491.135763988,0.366999591,3014,gzip,0,read
4491.138435870,0.369671473,3014,gzip,0,read
4491.141740171,0.372975774,3014,gzip,0,read
4491.148402087,0.379637690,3014,gzip,0,read
4491.174144619,0.405380222,3014,gzip,0,read
4491.179584083,0.410819686,3014,gzip,0,read
4491.201346314,0.432581917,3014,gzip,0,read
