timestamp,relative_time,pid,comm,uid,syscall,duration_us
8517.954922058,167.083525241,37943,chrt,0,execve,5.772
8517.955406748,167.084009931,37943,chrt,0,execve,5.579
8517.955602283,167.084205466,37943,bash,0,execve,241.536
8517.956025430,167.084628613,37943,bash,0,brk,0.808
8517.958603885,167.087207068,37943,bash,0,access,10.635
8517.958789042,167.087392225,37943,bash,0,openat,12.107
8517.959476708,167.088079891,37943,bash,0,fstat,6.907
8517.959624388,167.088227571,37943,bash,0,mmap,19.972
8517.959777891,167.088381074,37943,bash,0,close,1.998
8517.959922398,167.088525581,37943,bash,0,openat,15.435
8517.960324212,167.088927395,37943,bash,0,read,5.249
8517.960464194,167.089067377,37943,bash,0,fstat,1.543
8517.960596462,167.089199645,37943,bash,0,mmap,8.638
8517.960749724,167.089352907,37943,bash,0,mmap,5.647
8517.960892474,167.089495657,37943,bash,0,mmap,17.292
8517.961296896,167.089900079,37943,bash,0,mmap,11.673
8517.961451906,167.090055089,37943,bash,0,mmap,14.979
8517.961627436,167.090230619,37943,bash,0,mmap,5.990
8517.961790917,167.090394100,37943,bash,0,close,1.805
8517.961935849,167.090539032,37943,bash,0,openat,11.992
8517.962270752,167.090873935,37943,bash,0,read,3.602
8517.962414990,167.091018173,37943,bash,0,pread64,2.715
8517.962553797,167.091156980,37943,bash,0,fstat,2.165
8517.962693184,167.091296367,37943,bash,0,pread64,1.853
8517.962836047,167.091439230,37943,bash,0,mmap,7.891
8517.962979591,167.091582774,37943,bash,0,mmap,11.344
8517.963303816,167.091906999,37943,bash,0,mmap,9.955
8517.963444682,167.092047865,37943,bash,0,mmap,9.035
8517.963594282,167.092197465,37943,bash,0,mmap,4.013
8517.963742353,167.092345536,37943,bash,0,close,1.425
8517.963885223,167.092488406,37943,bash,0,openat,9.653
8517.964027304,167.092630487,37943,bash,0,read,2.257
8517.964338728,167.092941911,37943,bash,0,fstat,1.725
8517.964470823,167.093074006,37943,bash,0,mmap,11.703
8517.964610974,167.093214157,37943,bash,0,mmap,10.009
8517.964750080,167.093353263,37943,bash,0,mmap,5.721
8517.964886650,167.093489833,37943,bash,0,mmap,5.607
8517.965036585,167.093639768,37943,bash,0,close,1.099
8517.965360399,167.093963582,37943,bash,0,mmap,4.674
8517.965503798,167.094106981,37943,bash,0,syscall_158,1.264
8517.965646415,167.094249598,37943,bash,0,syscall_218,1.395
8517.965775657,167.094378840,37943,bash,0,syscall_273,0.840
8517.965905072,167.094508255,37943,bash,0,syscall_334,1.189
8517.966350601,167.094953784,37943,bash,0,mprotect,94.447
8517.966936146,167.095539329,37943,bash,0,mprotect,12.673
8517.967433405,167.096036588,37943,bash,0,mprotect,9.815
8517.967704018,167.096307201,37943,bash,0,mprotect,5.483
8517.968802438,167.097405621,37943,bash,0,mprotect,25.939
8517.969003037,167.097606220,37943,bash,0,syscall_302,1.771
8517.969333814,167.097936997,37943,bash,0,syscall_318,3.208
8517.969471217,167.098074400,37943,bash,0,munmap,21.339
8517.969660210,167.098263393,37943,bash,0,openat,26.937
8517.969819866,167.098423049,37943,bash,0,close,4.593
8517.970110707,167.098713890,37943,bash,0,brk,4.329
