trace_file,getpid,getegid,getxattr,setuid,rename,kill,epoll_ctl,fdatasync,fsetxattr,capset,sysinfo,capget,write,faccessat2,connect,dup,arch_prctl,pwrite64,statx,wait4,getrusage,utimensat,getpeername,linkat,getppid,getpgrp,sendto,recvfrom,fstat,socketpair,madvise,fchmodat,gettid,clock_nanosleep,clone3,copy_file_range,fchmod,times,recvmsg,openat,umask,getrandom,getuid,poll,socket,statfs,io_uring_enter,epoll_create1,ftruncate,timerfd_settime,access,eventfd2,fgetxattr,fadvise64,getcwd,prctl,setsockopt,getresuid,getsockname,getgroups,creat,read,newfstatat,getgid,fchown,sigaltstack,symlinkat,epoll_pwait,sendmsg,futex,dup2,epoll_pwait2,llistxattr,set_robust_list,sched_getaffinity,fcntl,setxattr,rt_sigaction,rmdir,geteuid,sched_getscheduler,rt_sigprocmask,mmap,chmod,bind,fstatfs,setitimer,lseek,pread64,ppoll,execve,getresgid,pipe2,brk,io_uring_setup,chdir,rseq,pselect6,ioctl,prlimit64,membarrier,set_tid_address,unlinkat,syscall_-1,renameat2,mprotect,getdents64,mkdir,unlink,open,clone,close,munmap,sync,uname,epoll_wait,fchdir,flock,readlink,getsockopt,fsync,timerfd_create,userspace_ms,total_ms,wall_time_s
mixed_7.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.244,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.288,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.023,0.000,0.001,0.000,0.003,0.117,0.000,0.000,0.000,0.000,0.036,0.001,0.000,0.077,0.000,0.000,0.040,0.000,0.000,0.001,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.125,0.000,0.000,0.008,0.000,0.061,0.021,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,72.083,73.531,0.073594
mixed_8.csv,0.009,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.000,1.145,0.000,0.003,0.000,0.000,1153.154,0.000,0.000,0.001,0.000,0.001,0.001,2.952,0.037,0.090,0.000,0.010,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.514,0.000,0.006,0.002,1085.861,0.028,0.000,0.000,0.000,0.000,0.000,0.022,0.006,0.000,0.001,0.002,0.003,0.005,0.001,0.006,0.000,0.000,28.191,0.069,0.002,0.000,0.000,0.000,0.000,0.000,0.021,0.006,0.000,0.000,0.003,0.000,0.006,0.000,0.056,0.000,0.003,0.000,0.037,0.641,0.000,0.000,0.000,0.000,0.004,0.006,13.254,0.494,0.000,0.012,0.065,0.000,0.000,0.002,0.000,0.008,0.004,0.000,0.002,0.000,0.003,0.000,0.137,0.064,0.000,0.000,0.000,0.202,0.972,0.060,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,115.589,2403.857,1.204653
mixed_9.csv,0.135,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.416,0.000,0.000,0.000,0.120,0.000,0.000,3725.732,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,3.581,0.000,0.000,0.000,0.000,0.000,0.000,3.019,0.000,0.000,0.000,60.339,0.001,0.318,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.105,0.000,0.000,0.091,0.002,0.000,0.000,0.001,0.000,0.000,0.000,861.219,2.580,0.040,0.000,0.000,0.000,0.000,0.000,0.322,0.346,0.000,0.000,0.169,0.000,0.000,0.000,1.197,0.000,0.075,0.000,1.372,20.662,0.000,0.000,0.000,0.000,0.054,0.369,0.000,29.996,0.000,0.612,1.598,0.000,0.005,0.162,0.000,0.851,0.179,0.000,0.129,0.000,0.230,0.000,4.072,3.003,0.023,0.000,0.000,13.230,5.212,1.655,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4691.623,9446.928,4.937964
task_tests_1.csv,0.002,0.000,0.000,0.000,0.000,0.000,0.107,0.000,0.000,0.000,0.000,0.000,0.022,0.000,0.143,0.000,0.001,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.053,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.306,0.000,0.007,0.000,0.000,0.073,0.000,0.000,0.010,0.000,0.008,0.010,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.507,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.062,1.168,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.408,0.000,0.000,0.000,0.000,0.012,0.007,0.000,0.225,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.010,0.002,0.000,0.002,0.000,0.000,0.000,0.074,0.561,0.000,0.000,0.000,0.000,0.156,0.096,0.000,0.000,8.451,0.000,0.000,0.000,0.000,0.000,0.009,78.324,91.066,0.091210
task_tests_10.csv,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.012,0.105,0.000,0.021,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.371,0.000,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.416,0.299,0.000,0.004,0.002,1979.403,1.464,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.013,0.015,0.000,0.002,0.000,0.000,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.393,0.000,0.000,0.000,0.006,0.000,0.006,0.000,1.428,0.000,0.000,0.028,0.000,0.000,0.002,0.000,0.007,0.002,0.000,0.002,0.000,0.000,0.000,0.082,0.029,0.000,0.000,0.000,0.000,0.052,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,54.992,2070.338,2.070537
task_tests_11.csv,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.766,0.000,6.081,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.044,0.583,0.109,0.000,0.032,0.000,0.000,0.000,0.089,0.000,0.000,0.000,0.019,2.303,0.000,0.009,0.000,226.892,0.628,0.000,0.000,0.000,0.000,0.000,0.013,0.075,0.000,0.000,0.000,0.006,0.024,0.000,0.048,0.000,0.000,7.276,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.001,0.000,0.007,0.000,0.108,0.000,0.001,0.000,0.009,1.136,0.000,0.007,0.000,0.000,0.005,0.004,47.763,1.930,0.000,0.000,0.190,0.000,0.000,0.002,0.000,0.005,0.003,0.000,0.001,0.000,0.000,0.000,0.353,0.031,0.000,0.000,0.000,0.000,1.057,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,250.119,552.954,0.479295
task_tests_12.csv,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.279,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,13.425,1.259,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.003,0.000,0.000,0.014,0.000,0.001,0.000,0.002,0.429,0.000,0.000,0.000,0.000,0.020,0.003,0.000,0.209,0.000,0.000,0.039,0.000,0.000,0.001,0.000,0.006,0.002,0.000,0.001,0.000,0.000,0.000,0.086,0.251,0.000,0.000,0.000,0.000,0.815,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246.829,267.882,0.268016
task_tests_13.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.900,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.344,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.259,0.000,0.000,0.000,0.000,0.015,0.003,0.000,0.365,0.000,0.000,0.014,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.050,0.696,0.000,0.000,0.000,0.000,0.049,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.165,43.153,0.043259
task_tests_14.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.000,0.002,0.000,0.000,0.000,1.798,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,6.162,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.124,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.395,0.000,0.000,0.015,0.000,0.000,0.001,0.000,0.007,0.001,0.000,0.001,0.000,0.000,0.000,0.022,0.017,0.000,0.000,0.000,0.000,0.030,0.012,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.373,43.392,0.043540
task_tests_15.csv,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.000,0.000,0.000,0.005,0.000,0.000,68.137,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.679,0.000,0.013,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.079,0.000,0.000,0.000,0.006,0.007,0.000,0.002,0.000,0.000,0.055,0.313,0.096,0.001,0.000,0.000,0.000,0.000,0.000,0.011,0.004,0.000,0.000,0.003,0.000,0.005,0.000,0.021,0.000,0.001,0.000,0.010,0.984,0.000,0.000,0.000,0.000,0.003,0.010,0.000,3.715,0.001,0.024,0.099,0.000,0.000,0.008,0.000,0.012,0.010,0.000,0.006,0.000,0.000,0.000,0.291,0.123,0.000,0.000,0.000,0.175,0.166,0.172,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,132.962,208.428,0.141288
task_tests_2.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.234,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.195,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.179,0.000,0.000,0.016,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.022,0.026,0.000,0.000,0.000,0.000,0.041,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.501,32.381,0.032486
task_tests_3.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.208,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.113,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.202,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.185,0.000,0.000,0.010,0.000,0.000,0.001,0.000,0.002,0.001,0.000,0.001,0.000,0.000,0.000,0.035,0.020,0.000,0.000,0.000,0.000,0.033,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.340,26.245,0.026346
