timestamp,relative_time,pid,comm,uid,syscall,duration_us
8483.443392524,132.571995707,37531,bash,0,openat,10.183
8483.443466741,132.572069924,37531,bash,0,openat,6.843
8483.443536429,132.572139612,37531,bash,0,fstat,2.189
8483.443601921,132.572205104,37531,bash,0,mmap,10.877
8483.443678736,132.572281919,37531,bash,0,close,0.526
8483.443754326,132.572357509,37531,bash,0,openat,1.415
8483.443821300,132.572424483,37531,bash,0,openat,2.091
8483.443890056,132.572493239,37531,bash,0,fstat,1.021
8483.443960326,132.572563509,37531,bash,0,mmap,5.452
8483.444178242,132.572781425,37531,bash,0,close,0.945
8483.444267641,132.572870824,37531,bash,0,openat,2.706
8483.444349508,132.572952691,37531,bash,0,openat,3.190
8483.444419631,132.573022814,37531,bash,0,fstat,1.027
8483.444491995,132.573095178,37531,bash,0,mmap,4.022
8483.444567312,132.573170495,37531,bash,0,close,0.682
8483.444640959,132.573244142,37531,bash,0,openat,1.909
8483.444709665,132.573312848,37531,bash,0,openat,2.626
8483.444779308,132.573382491,37531,bash,0,fstat,0.815
8483.444846451,132.573449634,37531,bash,0,mmap,6.372
8483.444920957,132.573524140,37531,bash,0,close,0.403
8483.444992070,132.573595253,37531,bash,0,openat,1.946
8483.445161943,132.573765126,37531,bash,0,openat,3.531
8483.445235097,132.573838280,37531,bash,0,fstat,0.882
8483.445305637,132.573908820,37531,bash,0,mmap,3.933
8483.445375142,132.573978325,37531,bash,0,close,0.646
8483.445448987,132.574052170,37531,bash,0,openat,2.868
8483.445520881,132.574124064,37531,bash,0,openat,4.007
8483.445592290,132.574195473,37531,bash,0,fstat,0.572
8483.445659179,132.574262362,37531,bash,0,close,2.153
8483.445726728,132.574329911,37531,bash,0,openat,2.228
8483.445795246,132.574398429,37531,bash,0,fstat,0.626
8483.445862134,132.574465317,37531,bash,0,mmap,2.846
8483.445930774,132.574533957,37531,bash,0,close,0.570
8483.445999097,132.574602280,37531,bash,0,openat,1.934
8483.446154980,132.574758163,37531,bash,0,openat,2.633
8483.446222455,132.574825638,37531,bash,0,fstat,0.857
8483.446287733,132.574890916,37531,bash,0,mmap,3.492
8483.446356700,132.574959883,37531,bash,0,close,0.454
8483.446432165,132.575035348,37531,bash,0,openat,1.651
8483.446498895,132.575102078,37531,bash,0,openat,2.211
8483.446565132,132.575168315,37531,bash,0,fstat,0.735
8483.446630453,132.575233636,37531,bash,0,mmap,3.068
8483.446697545,132.575300728,37531,bash,0,close,0.402
8483.446765697,132.575368880,37531,bash,0,openat,1.514
8483.446831514,132.575434697,37531,bash,0,openat,2.399
8483.446897231,132.575500414,37531,bash,0,fstat,0.569
8483.446963614,132.575566797,37531,bash,0,mmap,3.550
8483.447156301,132.575759484,37531,bash,0,close,0.912
8483.447227042,132.575830225,37531,bash,0,openat,2.881
8483.447298184,132.575901367,37531,bash,0,openat,2.398
8483.447382021,132.575985204,37531,bash,0,fstat,1.061
