timestamp,relative_time,pid,comm,uid,syscall,duration_us
364.558709551,31.835616453,1056,chrt,0,execve,32.403
364.563444449,31.840351351,1056,chrt,0,execve,39.393
364.564824800,31.841731702,1056,gunzip,0,execve,3433.017
364.569932384,31.846839286,1056,gunzip,0,brk,6.076
364.614094628,31.891001530,1056,gunzip,0,access,32.458
364.615592028,31.892498930,1056,gunzip,0,openat,39.947
364.617899833,31.894806735,1056,gunzip,0,fstat,7.426
364.621944190,31.898851092,1056,gunzip,0,mmap,66.006
364.624954765,31.901861667,1056,gunzip,0,close,7.043
364.628057202,31.904964104,1056,gunzip,0,openat,61.341
364.632782455,31.909689357,1056,gunzip,0,read,31.108
364.634929735,31.911836637,1056,gunzip,0,fstat,8.553
364.637839411,31.914746313,1056,gunzip,0,mmap,42.481
364.641001837,31.917908739,1056,gunzip,0,mmap,23.192
364.641864551,31.918771453,1056,gunzip,0,mmap,17.401
364.643710092,31.920616994,1056,gunzip,0,mmap,19.137
364.644396775,31.921303677,1056,gunzip,0,mmap,19.092
364.644674517,31.921581419,1056,gunzip,0,mmap,7.636
364.645798047,31.922704949,1056,gunzip,0,close,3.550
364.646534087,31.923440989,1056,gunzip,0,openat,20.675
364.646834258,31.923741160,1056,gunzip,0,read,6.144
364.647568750,31.924475652,1056,gunzip,0,pread64,42.484
364.648471566,31.925378468,1056,gunzip,0,fstat,5.184
364.649982731,31.926889633,1056,gunzip,0,pread64,8.403
364.652981930,31.929888832,1056,gunzip,0,mmap,42.984
364.655846820,31.932753722,1056,gunzip,0,mmap,43.234
364.657974175,31.934881077,1056,gunzip,0,mmap,34.276
364.660617460,31.937524362,1056,gunzip,0,mmap,44.976
364.660903439,31.937810341,1056,gunzip,0,mmap,8.715
364.662068504,31.938975406,1056,gunzip,0,close,6.402
364.664943668,31.941850570,1056,gunzip,0,openat,52.014
364.667953009,31.944859911,1056,gunzip,0,read,11.277
364.672939818,31.949846720,1056,gunzip,0,fstat,17.758
364.675879435,31.952786337,1056,gunzip,0,mmap,61.747
364.677568097,31.954474999,1056,gunzip,0,mmap,199.757
364.681720973,31.958627875,1056,gunzip,0,mmap,83.138
364.684677954,31.961584856,1056,gunzip,0,mmap,31.137
364.686119700,31.963026602,1056,gunzip,0,close,7.621
364.687708970,31.964615872,1056,gunzip,0,mmap,23.091
364.689950161,31.966857063,1056,gunzip,0,syscall_158,5.146
364.692897765,31.969804667,1056,gunzip,0,syscall_218,4.977
364.694955978,31.971862880,1056,gunzip,0,syscall_273,5.027
364.697971112,31.974878014,1056,gunzip,0,syscall_334,5.596
