timestamp,relative_time,pid,comm,uid,syscall,duration_us
5486.282233351,12.402681579,16621,chrt,0,execve,8.373
5486.282636175,12.403084403,16621,chrt,0,execve,6.342
5486.282747101,12.403195329,16621,grep,0,execve,202.232
5486.283239666,12.403687894,16621,grep,0,brk,0.785
5486.285005937,12.405454165,16621,grep,0,access,7.006
5486.285290838,12.405739066,16621,grep,0,openat,8.056
5486.285405939,12.405854167,16621,grep,0,fstat,3.177
5486.285509225,12.405957453,16621,grep,0,mmap,9.441
5486.285617324,12.406065552,16621,grep,0,close,1.593
5486.285731129,12.406179357,16621,grep,0,openat,9.627
5486.285861212,12.406309440,16621,grep,0,read,5.282
5486.285992149,12.406440377,16621,grep,0,fstat,1.975
5486.286290650,12.406738878,16621,grep,0,mmap,6.663
5486.286404977,12.406853205,16621,grep,0,mmap,3.182
5486.286509316,12.406957544,16621,grep,0,mmap,13.844
5486.286628232,12.407076460,16621,grep,0,mmap,6.361
5486.286740997,12.407189225,16621,grep,0,mmap,4.553
5486.286866920,12.407315148,16621,grep,0,close,0.982
5486.287201115,12.407649343,16621,grep,0,openat,9.520
5486.287328038,12.407776266,16621,grep,0,read,3.422
5486.287442596,12.407890824,16621,grep,0,pread64,1.465
5486.287546514,12.407994742,16621,grep,0,fstat,1.540
5486.287650962,12.408099190,16621,grep,0,pread64,1.147
5486.287772010,12.408220238,16621,grep,0,mmap,17.810
5486.287897330,12.408345558,16621,grep,0,mmap,14.711
5486.288022535,12.408470763,16621,grep,0,mmap,8.179
5486.288305201,12.408753429,16621,grep,0,mmap,11.359
5486.288427376,12.408875604,16621,grep,0,mmap,3.696
5486.288548805,12.408997033,16621,grep,0,close,0.867
5486.288675743,12.409123971,16621,grep,0,mmap,3.471
5486.288785750,12.409233978,16621,grep,0,arch_prctl,1.309
5486.288886276,12.409334504,16621,grep,0,set_tid_address,1.293
5486.288989883,12.409438111,16621,grep,0,set_robust_list,0.932
5486.289225693,12.409673921,16621,grep,0,rseq,1.347
5486.289398108,12.409846336,16621,grep,0,mprotect,15.042
5486.289530791,12.409979019,16621,grep,0,mprotect,4.976
5486.289687841,12.410136069,16621,grep,0,mprotect,4.226
5486.289798167,12.410246395,16621,grep,0,mprotect,15.365
5486.289926682,12.410374910,16621,grep,0,prlimit64,1.504
5486.290266927,12.410715155,16621,grep,0,getrandom,3.376
5486.290380053,12.410828281,16621,grep,0,munmap,16.332
5486.290543822,12.410992050,16621,grep,0,brk,0.578
5486.290648307,12.411096535,16621,grep,0,brk,4.363
5486.290759530,12.411207758,16621,grep,0,openat,11.367
5486.290881175,12.411329403,16621,grep,0,openat,10.157
5486.291012001,12.411460229,16621,grep,0,fstat,2.174
5486.291251909,12.411700137,16621,grep,0,read,4.490
5486.291363115,12.411811343,16621,grep,0,read,0.851
5486.291467044,12.411915272,16621,grep,0,close,3.264
5486.291588867,12.412037095,16621,grep,0,openat,5.172
5486.291708026,12.412156254,16621,grep,0,openat,8.380
5486.291842396,12.412290624,16621,grep,0,fstat,2.731
5486.291971924,12.412420152,16621,grep,0,mmap,15.444
5486.292243741,12.412691969,16621,grep,0,close,1.037
5486.292369245,12.412817473,16621,grep,0,openat,8.526
5486.292493027,12.412941255,16621,grep,0,openat,5.921
5486.292606805,12.413055033,16621,grep,0,fstat,1.445
5486.292713462,12.413161690,16621,grep,0,read,3.897
5486.292844395,12.413292623,16621,grep,0,read,0.891
