bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,0,1000,108,892,10.8,89.2
1,1000,2000,24,976,2.4,97.6
2,2000,3000,40,960,4.0,96.0
3,3000,4000,33,967,3.3000000000000003,96.7
4,4000,5000,36,964,3.5999999999999996,96.4
5,5000,6000,30,970,3.0,97.0
6,6000,7000,25,975,2.5,97.5
7,7000,8000,11,989,1.0999999999999999,98.9
8,8000,9000,24,976,2.4,97.6
9,9000,10000,36,964,3.5999999999999996,96.4
10,10000,11000,28,972,2.8000000000000003,97.2
11,11000,12000,30,970,3.0,97.0
12,12000,13000,24,976,2.4,97.6
13,13000,14000,16,984,1.6,98.4
14,14000,15000,25,975,2.5,97.5
15,15000,16000,18,982,1.7999999999999998,98.2
16,16000,17000,79,921,7.9,92.1
17,17000,18000,245,755,24.5,75.5
18,18000,19000,1000,0,100.0,0.0
19,19000,20000,1000,0,100.0,0.0
20,20000,21000,1000,0,100.0,0.0
21,21000,22000,1000,0,100.0,0.0
22,22000,23000,1000,0,100.0,0.0
23,23000,24000,1000,0,100.0,0.0
24,24000,25000,1000,0,100.0,0.0
25,25000,26000,1000,0,100.0,0.0
26,26000,27000,1000,0,100.0,0.0
27,27000,28000,1000,0,100.0,0.0
28,28000,29000,1000,0,100.0,0.0
29,29000,30000,1000,0,100.0,0.0
30,30000,31000,1000,0,100.0,0.0
31,31000,32000,1000,0,100.0,0.0
32,32000,33000,1000,0,100.0,0.0
33,33000,34000,1000,0,100.0,0.0
34,34000,35000,1000,0,100.0,0.0
35,35000,36000,1000,0,100.0,0.0
36,36000,37000,1000,0,100.0,0.0
37,37000,38000,1000,0,100.0,0.0
38,38000,39000,1000,0,100.0,0.0
39,39000,40000,1000,0,100.0,0.0
40,40000,41000,1000,0,100.0,0.0
41,41000,42000,1000,0,100.0,0.0
42,42000,43000,1000,0,100.0,0.0
43,43000,44000,1000,0,100.0,0.0
44,44000,45000,1000,0,100.0,0.0
45,45000,46000,1000,0,100.0,0.0
46,46000,47000,1000,0,100.0,0.0
47,47000,48000,1000,0,100.0,0.0
48,48000,49000,1000,0,100.0,0.0
49,49000,50000,1000,0,100.0,0.0
50,50000,51000,1000,0,100.0,0.0
51,51000,52000,1000,0,100.0,0.0
52,52000,53000,1000,0,100.0,0.0
53,53000,54000,1000,0,100.0,0.0
54,54000,55000,744,256,74.4,25.599999999999994
55,55000,56000,70,930,7.000000000000001,93.0
56,56000,57000,257,743,25.7,74.3
57,57000,58000,1000,0,100.0,0.0
58,58000,59000,1000,0,100.0,0.0
59,59000,60000,1000,0,100.0,0.0
60,60000,61000,1000,0,100.0,0.0
61,61000,62000,1000,0,100.0,0.0
62,62000,63000,1000,0,100.0,0.0
63,63000,64000,1000,0,100.0,0.0
64,64000,65000,1000,0,100.0,0.0
65,65000,66000,1000,0,100.0,0.0
66,66000,67000,1000,0,100.0,0.0
67,67000,68000,1000,0,100.0,0.0
68,68000,69000,1000,0,100.0,0.0
69,69000,70000,1000,0,100.0,0.0
70,70000,71000,1000,0,100.0,0.0
71,71000,72000,1000,0,100.0,0.0
72,72000,73000,1000,0,100.0,0.0
73,73000,74000,1000,0,100.0,0.0
74,74000,75000,1000,0,100.0,0.0
75,75000,76000,1000,0,100.0,0.0
76,76000,77000,1000,0,100.0,0.0
77,77000,78000,1000,0,100.0,0.0
78,78000,79000,1000,0,100.0,0.0
79,79000,80000,1000,0,100.0,0.0
80,80000,81000,898,102,89.8,10.200000000000003
81,81000,81471,8,463,1.6985138004246285,98.30148619957536
