bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,120937573,120938573,88,912,8.799999999999999,91.2
1,120938573,120939573,27,973,2.7,97.3
2,120939573,120940573,36,964,3.5999999999999996,96.4
3,120940573,120941573,27,973,2.7,97.3
4,120941573,120942573,32,968,3.2,96.8
5,120942573,120943573,11,989,1.0999999999999999,98.9
6,120943573,120944573,26,974,2.6,97.4
7,120944573,120945573,29,971,2.9000000000000004,97.1
8,120945573,120946573,35,965,3.5000000000000004,96.5
9,120946573,120947573,29,971,2.9000000000000004,97.1
10,120947573,120948397,35,789,4.247572815533981,95.75242718446601
