bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,120937573,120939073,97,1403,6.466666666666667,93.53333333333333
1,120939073,120940573,54,1446,3.5999999999999996,96.4
2,120940573,120942073,51,1449,3.4000000000000004,96.6
3,120942073,120943573,19,1481,1.2666666666666666,98.73333333333333
4,120943573,120945073,37,1463,2.466666666666667,97.53333333333333
5,120945073,120946573,53,1447,3.5333333333333337,96.46666666666667
6,120946573,120948073,40,1460,2.666666666666667,97.33333333333333
7,120948073,120948397,24,300,7.4074074074074066,92.5925925925926
