bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,0,1500,112,1388,7.466666666666668,92.53333333333333
1,1500,3000,58,1442,3.8666666666666667,96.13333333333334
2,3000,4500,49,1451,3.266666666666666,96.73333333333333
3,4500,6000,43,1457,2.8666666666666667,97.13333333333334
4,6000,7500,91,1409,6.066666666666666,93.93333333333334
5,7500,9000,35,1465,2.3333333333333335,97.66666666666667
6,9000,10500,41,1459,2.7333333333333334,97.26666666666667
7,10500,12000,41,1459,2.7333333333333334,97.26666666666667
8,12000,13500,28,1472,1.866666666666667,98.13333333333334
9,13500,15000,35,1465,2.3333333333333335,97.66666666666667
10,15000,16500,50,1450,3.3333333333333335,96.66666666666667
11,16500,18000,42,1458,2.8000000000000003,97.2
12,18000,19500,36,1464,2.4,97.6
13,19500,21000,34,1466,2.2666666666666666,97.73333333333333
14,21000,22500,40,1460,2.666666666666667,97.33333333333333
15,22500,24000,50,1450,3.3333333333333335,96.66666666666667
16,24000,25500,36,1464,2.4,97.6
17,25500,27000,33,1467,2.1999999999999997,97.8
18,27000,28500,39,1461,2.6,97.4
19,28500,30000,38,1462,2.533333333333333,97.46666666666667
20,30000,31500,39,1461,2.6,97.4
21,31500,33000,35,1465,2.3333333333333335,97.66666666666667
22,33000,34500,58,1442,3.8666666666666667,96.13333333333334
23,34500,36000,34,1466,2.2666666666666666,97.73333333333333
24,36000,37500,35,1465,2.3333333333333335,97.66666666666667
25,37500,39000,55,1445,3.6666666666666665,96.33333333333333
26,39000,40500,52,1448,3.4666666666666663,96.53333333333333
27,40500,42000,48,1452,3.2,96.8
28,42000,43500,44,1456,2.933333333333333,97.06666666666666
29,43500,45000,39,1461,2.6,97.4
30,45000,46500,35,1465,2.3333333333333335,97.66666666666667
31,46500,48000,39,1461,2.6,97.4
32,48000,49500,38,1462,2.533333333333333,97.46666666666667
33,49500,51000,41,1459,2.7333333333333334,97.26666666666667
34,51000,52500,39,1461,2.6,97.4
35,52500,54000,36,1464,2.4,97.6
36,54000,55500,38,1462,2.533333333333333,97.46666666666667
37,55500,57000,49,1451,3.266666666666666,96.73333333333333
38,57000,58500,37,1463,2.466666666666667,97.53333333333333
39,58500,60000,40,1460,2.666666666666667,97.33333333333333
40,60000,61500,40,1460,2.666666666666667,97.33333333333333
41,61500,63000,34,1466,2.2666666666666666,97.73333333333333
