task_id,timestamp_us,total_run_time,total_io_wait_time,total_ready_wait_time,delta
B,12399997,6187394,0,6192476,10
C,12429997,6197520,0,6212350,10
B,12499997,6237374,0,6242496,10
B,12599997,6287354,0,6292516,10
C,12649997,6307476,0,6322394,10
B,12699997,6337334,0,6342536,10
B,12799997,6387314,0,6392556,10
C,12869997,6417432,0,6432438,10
B,12899997,6437294,0,6442576,10
B,12999997,6487274,0,6492596,10
C,13089997,6527388,0,6542482,10
B,13099997,6537254,0,6542616,10
B,13199997,6587234,0,6592636,10
B,13299997,6637214,0,6642656,10
C,13309997,6637344,0,6652526,10
B,13399997,6687194,0,6692676,10
B,13499997,6737174,0,6742696,10
C,13529997,6747300,0,6762570,10
B,13599997,6787154,0,6792716,10
B,13699997,6837134,0,6842736,10
C,13749997,6857256,0,6872614,10
B,13799997,6887114,0,6892756,10
B,13899997,6937094,0,6942776,10
C,13969997,6967212,0,6982658,10
B,13999997,6987074,0,6992796,10
B,14099997,7037054,0,7042816,10
C,14189997,7077168,0,7092702,10
B,14199997,7087034,0,7092836,10
B,14299997,7137014,0,7142856,10
B,14399997,7186994,0,7192876,10
C,14409997,7187124,0,7202746,10
B,14499997,7236974,0,7242896,10
B,14599997,7286954,0,7292916,10
C,14629997,7297080,0,7312790,10
B,14699997,7336934,0,7342936,10
B,14799997,7386914,0,7392956,10
C,14849997,7407036,0,7422834,10
B,14899997,7436894,0,7442976,10
B,14999997,7486874,0,7492996,10
C,15069997,7516992,0,7532878,10
B,15099997,7536854,0,7543016,10
B,15199997,7586834,0,7593036,10
C,15289997,7626948,0,7642922,10
B,15299997,7636814,0,7643056,10
B,15399997,7686794,0,7693076,10
B,15499997,7736774,0,7743096,10
C,15509997,7736904,0,7752966,10
B,15599997,7786754,0,7793116,10
B,15699997,7836734,0,7843136,10
C,15729997,7846860,0,7863010,10
B,15799997,7886714,0,7893156,10
B,15899997,7936694,0,7943176,10
C,15949997,7956816,0,7973054,10
B,15999997,7986674,0,7993196,10
B,16099997,8036654,0,8043216,10
C,16169997,8066772,0,8083098,10
B,16199997,8086634,0,8093236,10
B,16299997,8136614,0,8143256,10
C,16389997,8176728,0,8193142,10
B,16399997,8186594,0,8193276,10
B,16499997,8236574,0,8243296,10
B,16599997,8286554,0,8293316,10
C,16609997,8286684,0,8303186,10
B,16699997,8336534,0,8343336,10
B,16799997,8386514,0,8393356,10
C,16829997,8396640,0,8413230,10
B,16899997,8436494,0,8443376,10
