task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
C,10007,0,0,19382,1,8
B,20052,19372,0,20098,0.5091969,10
C,28089,20090,0,35464,0.63836986,10
B,38089,35446,0,40106,0.5308397,8
C,48127,40090,0,55548,0.58081514,10
B,56164,55522,0,56188,0.50298095,9
C,66208,56164,0,75644,0.57389534,8
B,75252,75610,0,74284,0.4955769,8
C,83252,74252,0,91652,0.55244,6
B,91290,91610,0,90368,0.49658749,6
C,93441,90328,0,95958,0.51511115,5
C,99477,102400,0,95964,0.48377728,7
C,104520,112486,0,95970,0.46038494,5
C,111557,126560,0,95976,0.43128303,5
C,116557,136560,0,95982,0.41275126,5
C,121557,146560,0,95988,0.39574847,5
C,126557,156560,0,95994,0.38009298,5
C,131557,166560,0,96000,0.36563072,5
C,136557,176560,0,96006,0.35223028,5
C,141557,186560,0,96012,0.3397789,5
B,146557,91628,100256,96352,0.33428162,10
C,151594,196560,0,106094,0.3505455,5
B,161638,101702,200512,116448,0.27814323,10
C,166675,216648,0,116176,0.34906137,5
B,176713,111776,300768,136532,0.24865775,15
C,181757,236724,0,126272,0.34786057,5
B,196795,121864,401024,166616,0.24164617,10
C,201839,266800,0,136368,0.33824113,5
B,211882,131952,501280,186710,0.22771123,9
C,216926,286886,0,146464,0.33798084,5
B,225964,142040,601536,204794,0.21594314,9
C,231002,304962,0,156548,0.33920825,5
B,240040,152116,701792,222878,0.20698449,14
C,245084,323038,0,166644,0.34031066,5
B,259122,162204,802048,250962,0.20651671,12
C,264166,351114,0,176740,0.33482742,5
B,276204,172292,902304,275046,0.20379183,12
C,281241,375190,0,186822,0.3324164,10
B,293285,182366,1002560,299142,0.20156893,12
C,296084,399278,0,192424,0.32520425,8
C,308120,423350,0,192430,0.31249797,6
C,316157,439424,0,192436,0.30455482,5
C,322194,451498,0,192442,0.29885083,5
C,327194,461498,0,192448,0.2942873,5
C,332194,471498,0,192454,0.28986132,5
C,337194,481498,0,192460,0.28556675,5
C,342194,491498,0,192466,0.28139785,5
B,347194,182384,1102816,301114,0.18981992,12
C,352231,501498,0,202548,0.2876914,5
B,364269,192458,1203072,325198,0.18898861,14
C,369313,525574,0,212644,0.2880504,5
B,383351,202546,1303328,353282,0.19002278,14
C,388388,553650,0,222726,0.28687903,10
B,402432,212620,1403584,381378,0.19091982,14
C,412469,581738,0,242808,0.29447478,8
B,426507,232694,1503840,409462,0.19080278,10
C,434544,609814,0,258890,0.29801866,6
B,444582,248768,1604096,429546,0.18819843,10
C,450619,629890,0,270972,0.30079192,5
B,460657,260842,1704352,449630,0.18619576,8
C,465701,649966,0,281068,0.30188802,5
B,473739,270930,1804608,465714,0.18326163,14
C,477537,666042,0,288668,0.30236197,5
C,491573,694114,0,288674,0.29372966,5
C,496573,704114,0,288680,0.29077533,5
C,501573,714114,0,288686,0.28787994,5
C,506573,724114,0,288692,0.28504175,5
C,511573,734114,0,288698,0.2822591,6
C,516616,744200,0,288704,0.2795071,5
C,522653,756274,0,288710,0.27628174,5
C,527653,766274,0,288716,0.27366704,5
B,532653,270948,1904918,475644,0.17938608,14
C,537690,776274,0,298798,0.277933,5
B,551728,281022,2005228,503728,0.1805491,14
C,556765,804350,0,308880,0.27746287,5
B,570803,291096,2105538,531812,0.18160212,14
C,575840,832426,0,318962,0.2770239,5
