bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,0,1500,136,1364,9.066666666666666,90.93333333333334
1,1500,3000,56,1444,3.733333333333334,96.26666666666667
2,3000,4500,45,1455,3.0,97.0
3,4500,6000,27,1473,1.7999999999999998,98.2
4,6000,7500,35,1465,2.3333333333333335,97.66666666666667
5,7500,9000,0,1500,0.0,100.0
6,9000,10500,0,1500,0.0,100.0
7,10500,12000,0,1500,0.0,100.0
8,12000,13500,0,1500,0.0,100.0
9,13500,15000,0,1500,0.0,100.0
10,15000,16500,0,1500,0.0,100.0
11,16500,18000,0,1500,0.0,100.0
12,18000,19500,0,1500,0.0,100.0
13,19500,21000,0,1500,0.0,100.0
14,21000,22500,3,1497,0.2,99.8
15,22500,24000,94,1406,6.266666666666667,93.73333333333333
16,24000,25500,56,1444,3.733333333333334,96.26666666666667
17,25500,27000,47,1453,3.1333333333333333,96.86666666666666
18,27000,28500,20,1480,1.3333333333333335,98.66666666666667
19,28500,30000,42,1458,2.8000000000000003,97.2
20,30000,30484,18,466,3.71900826446281,96.28099173553719
